一	yī	one; a, an; alone	一 1.0	1	1	0001	2
乙	yǐ	second; 2nd heavenly stem	乙 5.0	1	5	0002	1872
二	èr	two; twice	二 7.0	2	1	0003	157
十	shí	ten, tenth; complete; perfect	十 24.0	2	1	0004	112
丁	dīng	male adult; robust, vigorous; 4th heavenly stem	一 1.1	2	6	0005	1168
厂	chǎng	factory, workshop; radical 27	厂 27.0	2	5	0006	963
七	qī	seven	一 1.1	2	1	0007	530
卜	bo	fortune telling; prophesy	卜 25.0	2		0008	1979
八	bā	eight; all around, all sides	八 12.0	2	1	0009	451
人	rén	man; people; mankind; someone else	人 9.0	2	1	0010	7
入	rù	enter, come in(to), join	入 11.0	2	4	0011	210
儿	ér	son, child; KangXi radical 10	儿 10.0	2	1	0012	192
匕	bǐ	spoon, ladle; knife, dirk	匕 21.0	2		0013	3252
几	jǐ	small table	几 16.0	2	1	0014	211
九	jiǔ	nine	乙 5.1	2	1	0015	445
刁	diāo	tricky, sly, crafty, cunning	刀 18.0	2		0016	3635
了	le	to finish; particle of completed action	亅 6.1	2	1	0017	5
刀	dāo	knife; old coin; measure	刀 18.0	2	4	0018	1067
力	lì	power, capability, influence	力 19.0	2	3	0019	106
乃	nǎi	then; really, indeed; as it turned out, after all; namely	丿 4.1	2		0020	1165
又	yòu	and, also, again, in addition	又 29.0	2	3	0021	126
三	sān	three	一 1.2	3	1	0022	125
干	gàn	oppose, offend; invade; dried	干 51.0	3	3	0023	353
于	yú	in, on, at; go to; surname	二 7.1	3	3	0024	40
亏	kuī	lose, fail; damage; deficient	二 7.1	3	5	0025	1738
工	gōng	labor, work; worker, laborer	工 48.0	3	1	0026	118
土	tǔ	soil, earth; items made of earth	土 32.0	3	5	0027	515
士	shì	scholar, gentleman; soldier	士 33.0	3	4	0028	372
才	cái	talent, ability; just, only	手 64.0	3	3	0029	235
下	xià	under, underneath, below; down; inferior; bring down	一 1.2	3	1	0030	42
寸	cùn	inch; small, tiny; KangXi radical 41	寸 41.0	3	6	0031	1904
大	dà	big, great, vast, large, high	大 37.0	3	1	0032	17
丈	zhàng	unit of length equal 3.3 meters; gentleman, man, husband	一 1.2	3	2	0033	1242
与	yǔ	and; with; to; for; give, grant	一 1.3	3	4	0034	108
万	wàn	ten thousand; innumerable	一 1.2	3	3	0035	322
上	shàng	top; superior, highest; go up, send up	一 1.2	3	1	0036	16
小	xiǎo	small, tiny, insignificant	小 42.0	3	1	0037	83
口	kǒu	mouth; open end; entrance, gate	口 30.0	3	3	0038	212
山	shān	mountain, hill, peak	山 46.0	3	3	0039	259
